optimizer,layer,head,DAR_w,DAR
AdamW,0,0,1,0.3076923191547394
AdamW,0,1,1,0.0
AdamW,0,2,1,0.1538461595773697
AdamW,0,3,1,0.2307692319154739
AdamW,0,4,1,0.1538461595773697
AdamW,0,5,1,0.4615384638309479
AdamW,0,6,1,0.0769230797886848
AdamW,0,7,1,0.2307692319154739
AdamW,1,0,1,0.2307692319154739
AdamW,1,1,1,0.2307692319154739
AdamW,1,2,1,0.2307692319154739
AdamW,1,3,1,0.3076923191547394
AdamW,1,4,1,0.2307692319154739
AdamW,1,5,1,0.6153846383094788
AdamW,1,6,1,0.2307692319154739
AdamW,1,7,1,0.3846153914928436
AdamW,2,0,1,0.2307692319154739
AdamW,2,1,1,0.4615384638309479
AdamW,2,2,1,0.2307692319154739
AdamW,2,3,1,0.3076923191547394
AdamW,2,4,1,0.2307692319154739
AdamW,2,5,1,1.0
AdamW,2,6,1,0.1538461595773697
AdamW,2,7,1,0.4615384638309479
AdamW,3,0,1,0.3076923191547394
AdamW,3,1,1,0.3076923191547394
AdamW,3,2,1,0.3076923191547394
AdamW,3,3,1,0.2307692319154739
AdamW,3,4,1,0.2307692319154739
AdamW,3,5,1,1.0
AdamW,3,6,1,0.3076923191547394
AdamW,3,7,1,0.7692307829856873
AdamW,4,0,1,0.3076923191547394
AdamW,4,1,1,0.5384615659713745
AdamW,4,2,1,0.2307692319154739
AdamW,4,3,1,0.3076923191547394
AdamW,4,4,1,0.3076923191547394
AdamW,4,5,1,1.0
AdamW,4,6,1,0.3846153914928436
AdamW,4,7,1,0.692307710647583
AdamW,5,0,1,0.3846153914928436
AdamW,5,1,1,0.6153846383094788
AdamW,5,2,1,0.3846153914928436
AdamW,5,3,1,0.2307692319154739
AdamW,5,4,1,0.3846153914928436
AdamW,5,5,1,0.692307710647583
AdamW,5,6,1,0.3846153914928436
AdamW,5,7,1,0.6153846383094788
AdamW,6,0,1,0.2307692319154739
AdamW,6,1,1,0.8461538553237915
AdamW,6,2,1,0.7692307829856873
AdamW,6,3,1,0.5384615659713745
AdamW,6,4,1,0.3846153914928436
AdamW,6,5,1,0.3846153914928436
AdamW,6,6,1,0.3846153914928436
AdamW,6,7,1,0.2307692319154739
AdamW,7,0,1,0.2307692319154739
AdamW,7,1,1,1.0
AdamW,7,2,1,0.5384615659713745
AdamW,7,3,1,0.692307710647583
AdamW,7,4,1,1.0
AdamW,7,5,1,0.2307692319154739
AdamW,7,6,1,0.4615384638309479
AdamW,7,7,1,0.2307692319154739
AdamW,8,0,1,0.2307692319154739
AdamW,8,1,1,1.0
AdamW,8,2,1,0.8461538553237915
AdamW,8,3,1,1.0
AdamW,8,4,1,1.0
AdamW,8,5,1,0.4615384638309479
AdamW,8,6,1,0.3076923191547394
AdamW,8,7,1,0.1538461595773697
AdamW,9,0,1,0.1538461595773697
AdamW,9,1,1,0.2307692319154739
AdamW,9,2,1,0.4615384638309479
AdamW,9,3,1,0.7692307829856873
AdamW,9,4,1,0.7692307829856873
AdamW,9,5,1,0.9230769276618958
AdamW,9,6,1,0.5384615659713745
AdamW,9,7,1,0.1538461595773697
AdamW,10,0,1,0.3076923191547394
AdamW,10,1,1,0.9230769276618958
AdamW,10,2,1,0.3076923191547394
AdamW,10,3,1,0.5384615659713745
AdamW,10,4,1,0.692307710647583
AdamW,10,5,1,0.692307710647583
AdamW,10,6,1,0.2307692319154739
AdamW,10,7,1,0.3846153914928436
AdamW,11,0,1,0.2307692319154739
AdamW,11,1,1,0.2307692319154739
AdamW,11,2,1,0.4615384638309479
AdamW,11,3,1,0.2307692319154739
AdamW,11,4,1,0.5384615659713745
AdamW,11,5,1,0.0769230797886848
AdamW,11,6,1,0.5384615659713745
AdamW,11,7,1,0.2307692319154739
Adan,0,0,1,0.1538461595773697
Adan,0,1,1,0.2307692319154739
Adan,0,2,1,0.3846153914928436
Adan,0,3,1,0.0
Adan,0,4,1,0.4615384638309479
Adan,0,5,1,0.3076923191547394
Adan,0,6,1,0.692307710647583
Adan,0,7,1,0.5384615659713745
Adan,1,0,1,0.4615384638309479
Adan,1,1,1,0.3846153914928436
Adan,1,2,1,0.4615384638309479
Adan,1,3,1,0.1538461595773697
Adan,1,4,1,0.4615384638309479
Adan,1,5,1,0.6153846383094788
Adan,1,6,1,0.5384615659713745
Adan,1,7,1,0.2307692319154739
Adan,2,0,1,0.6153846383094788
Adan,2,1,1,0.8461538553237915
Adan,2,2,1,0.2307692319154739
Adan,2,3,1,0.4615384638309479
Adan,2,4,1,0.2307692319154739
Adan,2,5,1,0.692307710647583
Adan,2,6,1,0.8461538553237915
Adan,2,7,1,0.3846153914928436
Adan,3,0,1,0.8461538553237915
Adan,3,1,1,1.0
Adan,3,2,1,0.5384615659713745
Adan,3,3,1,0.3846153914928436
Adan,3,4,1,1.0
Adan,3,5,1,0.692307710647583
Adan,3,6,1,1.0
Adan,3,7,1,0.7692307829856873
Adan,4,0,1,0.8461538553237915
Adan,4,1,1,0.7692307829856873
Adan,4,2,1,0.5384615659713745
Adan,4,3,1,0.8461538553237915
Adan,4,4,1,0.4615384638309479
Adan,4,5,1,0.9230769276618958
Adan,4,6,1,0.6153846383094788
Adan,4,7,1,0.2307692319154739
Adan,5,0,1,1.0
Adan,5,1,1,1.0
Adan,5,2,1,0.7692307829856873
Adan,5,3,1,0.1538461595773697
Adan,5,4,1,0.9230769276618958
Adan,5,5,1,1.0
Adan,5,6,1,0.7692307829856873
Adan,5,7,1,0.2307692319154739
Adan,6,0,1,0.692307710647583
Adan,6,1,1,0.7692307829856873
Adan,6,2,1,0.8461538553237915
Adan,6,3,1,0.2307692319154739
Adan,6,4,1,0.2307692319154739
Adan,6,5,1,0.7692307829856873
Adan,6,6,1,0.3076923191547394
Adan,6,7,1,0.2307692319154739
Adan,7,0,1,0.692307710647583
Adan,7,1,1,0.692307710647583
Adan,7,2,1,0.6153846383094788
Adan,7,3,1,0.2307692319154739
Adan,7,4,1,0.1538461595773697
Adan,7,5,1,0.5384615659713745
Adan,7,6,1,0.1538461595773697
Adan,7,7,1,0.1538461595773697
Adan,8,0,1,0.3076923191547394
Adan,8,1,1,0.3846153914928436
Adan,8,2,1,0.3846153914928436
Adan,8,3,1,0.3076923191547394
Adan,8,4,1,0.1538461595773697
Adan,8,5,1,0.2307692319154739
Adan,8,6,1,0.1538461595773697
Adan,8,7,1,0.2307692319154739
Adan,9,0,1,0.6153846383094788
Adan,9,1,1,0.4615384638309479
Adan,9,2,1,0.3076923191547394
Adan,9,3,1,0.2307692319154739
Adan,9,4,1,0.3076923191547394
Adan,9,5,1,0.3076923191547394
Adan,9,6,1,0.3076923191547394
Adan,9,7,1,0.2307692319154739
Adan,10,0,1,0.3076923191547394
Adan,10,1,1,0.2307692319154739
Adan,10,2,1,0.1538461595773697
Adan,10,3,1,0.1538461595773697
Adan,10,4,1,0.3846153914928436
Adan,10,5,1,0.2307692319154739
Adan,10,6,1,0.1538461595773697
Adan,10,7,1,0.3846153914928436
Adan,11,0,1,0.2307692319154739
Adan,11,1,1,0.1538461595773697
Adan,11,2,1,0.1538461595773697
Adan,11,3,1,0.3076923191547394
Adan,11,4,1,0.1538461595773697
Adan,11,5,1,0.2307692319154739
Adan,11,6,1,0.2307692319154739
Adan,11,7,1,0.3076923191547394
Muon,0,0,1,0.2307692319154739
Muon,0,1,1,0.2307692319154739
Muon,0,2,1,0.3076923191547394
Muon,0,3,1,0.4615384638309479
Muon,0,4,1,0.3076923191547394
Muon,0,5,1,0.5384615659713745
Muon,0,6,1,0.3846153914928436
Muon,0,7,1,0.4615384638309479
Muon,1,0,1,0.2307692319154739
Muon,1,1,1,0.2307692319154739
Muon,1,2,1,0.3076923191547394
Muon,1,3,1,0.3846153914928436
Muon,1,4,1,0.4615384638309479
Muon,1,5,1,0.4615384638309479
Muon,1,6,1,0.5384615659713745
Muon,1,7,1,0.3076923191547394
Muon,2,0,1,0.3846153914928436
Muon,2,1,1,0.3846153914928436
Muon,2,2,1,0.1538461595773697
Muon,2,3,1,0.4615384638309479
Muon,2,4,1,0.3846153914928436
Muon,2,5,1,0.1538461595773697
Muon,2,6,1,0.2307692319154739
Muon,2,7,1,0.1538461595773697
Muon,3,0,1,0.2307692319154739
Muon,3,1,1,0.6153846383094788
Muon,3,2,1,0.2307692319154739
Muon,3,3,1,0.3846153914928436
Muon,3,4,1,0.3076923191547394
Muon,3,5,1,0.2307692319154739
Muon,3,6,1,0.3076923191547394
Muon,3,7,1,0.1538461595773697
Muon,4,0,1,0.3076923191547394
Muon,4,1,1,0.1538461595773697
Muon,4,2,1,0.3076923191547394
Muon,4,3,1,0.2307692319154739
Muon,4,4,1,0.2307692319154739
Muon,4,5,1,0.1538461595773697
Muon,4,6,1,0.1538461595773697
Muon,4,7,1,0.3076923191547394
Muon,5,0,1,0.1538461595773697
Muon,5,1,1,0.2307692319154739
Muon,5,2,1,0.1538461595773697
Muon,5,3,1,0.2307692319154739
Muon,5,4,1,0.2307692319154739
Muon,5,5,1,0.6153846383094788
Muon,5,6,1,0.1538461595773697
Muon,5,7,1,0.1538461595773697
Muon,6,0,1,0.1538461595773697
Muon,6,1,1,0.2307692319154739
Muon,6,2,1,0.3076923191547394
Muon,6,3,1,0.2307692319154739
Muon,6,4,1,0.2307692319154739
Muon,6,5,1,0.692307710647583
Muon,6,6,1,0.2307692319154739
Muon,6,7,1,0.2307692319154739
Muon,7,0,1,0.3846153914928436
Muon,7,1,1,0.1538461595773697
Muon,7,2,1,0.3076923191547394
Muon,7,3,1,0.3076923191547394
Muon,7,4,1,0.2307692319154739
Muon,7,5,1,0.3846153914928436
Muon,7,6,1,0.2307692319154739
Muon,7,7,1,0.2307692319154739
Muon,8,0,1,0.3076923191547394
Muon,8,1,1,0.1538461595773697
Muon,8,2,1,0.1538461595773697
Muon,8,3,1,0.3076923191547394
Muon,8,4,1,0.2307692319154739
Muon,8,5,1,0.3846153914928436
Muon,8,6,1,0.2307692319154739
Muon,8,7,1,0.1538461595773697
Muon,9,0,1,0.2307692319154739
Muon,9,1,1,0.4615384638309479
Muon,9,2,1,0.3076923191547394
Muon,9,3,1,0.3076923191547394
Muon,9,4,1,0.1538461595773697
Muon,9,5,1,0.1538461595773697
Muon,9,6,1,0.4615384638309479
Muon,9,7,1,0.3076923191547394
Muon,10,0,1,0.4615384638309479
Muon,10,1,1,0.2307692319154739
Muon,10,2,1,0.1538461595773697
Muon,10,3,1,0.2307692319154739
Muon,10,4,1,0.3076923191547394
Muon,10,5,1,0.1538461595773697
Muon,10,6,1,0.3076923191547394
Muon,10,7,1,0.1538461595773697
Muon,11,0,1,0.6153846383094788
Muon,11,1,1,0.3076923191547394
Muon,11,2,1,0.3076923191547394
Muon,11,3,1,0.3846153914928436
Muon,11,4,1,0.3846153914928436
Muon,11,5,1,0.1538461595773697
Muon,11,6,1,0.6153846383094788
Muon,11,7,1,0.1538461595773697
